"GRID_CODE","LABEL1","LABEL2","LABEL3","Colour"
1,"Artificial surfaces","Urban fabric","Continuous urban fabric","#E6004D"
2,"Artificial surfaces","Urban fabric","Discontinuous urban fabric","#FF0000"
3,"Artificial surfaces","Industrial, commercial and transport units","Industrial or commercial units","#CC4DF2"
4,"Artificial surfaces","Industrial, commercial and transport units","Road and rail networks and associated land","#CC0000"
5,"Artificial surfaces","Industrial, commercial and transport units","Port areas","#E6CCCC"
6,"Artificial surfaces","Industrial, commercial and transport units","Airports","#E6CCE6"
7,"Artificial surfaces","Mine, dump and construction sites","Mineral extraction sites","#A600CC"
8,"Artificial surfaces","Mine, dump and construction sites","Dump sites","#A64D00"
9,"Artificial surfaces","Mine, dump and construction sites","Construction sites","#FF4DFF"
10,"Artificial surfaces","Artificial, non-agricultural vegetated areas","Green urban areas","#FFA6FF"
11,"Artificial surfaces","Artificial, non-agricultural vegetated areas","Sport and leisure facilities","#FFE6FF"
12,"Agricultural areas","Arable land","Non-irrigated arable land","#FFFFA8"
13,"Agricultural areas","Arable land","Permanently irrigated land","#FFFF00"
14,"Agricultural areas","Arable land","Rice fields","#E6E600"
15,"Agricultural areas","Permanent crops","Vineyards","#E68000"
16,"Agricultural areas","Permanent crops","Fruit trees and berry plantations","#F2A64D"
17,"Agricultural areas","Permanent crops","Olive groves","#E6A600"
18,"Agricultural areas","Pastures","Pastures","#E6E64D"
19,"Agricultural areas","Heterogeneous agricultural areas","Annual crops associated with permanent crops","#FFE6A6"
20,"Agricultural areas","Heterogeneous agricultural areas","Complex cultivation patterns","#FFE64D"
21,"Agricultural areas","Heterogeneous agricultural areas","Land principally occupied by agriculture, with significant areas of natural vegetation","#E6CC4D"
22,"Agricultural areas","Heterogeneous agricultural areas","Agro-forestry areas","#F2CCA6"
23,"Forest and semi natural areas","Forests","Broad-leaved forest","#80FF00"
24,"Forest and semi natural areas","Forests","Coniferous forest","#00A600"
25,"Forest and semi natural areas","Forests","Mixed forest","#4DFF00"
26,"Forest and semi natural areas","Scrub and/or herbaceous vegetation associations","Natural grasslands","#CCF24D"
27,"Forest and semi natural areas","Scrub and/or herbaceous vegetation associations","Moors and heathland","#A6FF80"
28,"Forest and semi natural areas","Scrub and/or herbaceous vegetation associations","Sclerophyllous vegetation","#A6E64D"
29,"Forest and semi natural areas","Scrub and/or herbaceous vegetation associations","Transitional woodland-shrub","#A6F200"
30,"Forest and semi natural areas","Open spaces with little or no vegetation","Beaches, dunes, sands","#E6E6E6"
31,"Forest and semi natural areas","Open spaces with little or no vegetation","Bare rocks","#CCCCCC"
32,"Forest and semi natural areas","Open spaces with little or no vegetation","Sparsely vegetated areas","#CCFFCC"
33,"Forest and semi natural areas","Open spaces with little or no vegetation","Burnt areas","#000000"
34,"Forest and semi natural areas","Open spaces with little or no vegetation","Glaciers and perpetual snow","#A6E6CC"
35,"Wetlands","Inland wetlands","Inland marshes","#A6A6FF"
36,"Wetlands","Inland wetlands","Peat bogs","#4D4DFF"
37,"Wetlands","Maritime wetlands","Salt marshes","#CCCCFF"
38,"Wetlands","Maritime wetlands","Salines","#E6E6FF"
39,"Wetlands","Maritime wetlands","Intertidal flats","#A6A6E6"
40,"Water bodies","Inland waters","Water courses","#00CCF2"
41,"Water bodies","Inland waters","Water bodies","#80F2E6"
42,"Water bodies","Marine waters","Coastal lagoons","#00FFA6"
43,"Water bodies","Marine waters","Estuaries","#A6FFE6"
44,"Water bodies","Marine waters","Sea and ocean","#E6F2FF"
48,"NODATA","NODATA","NODATA","#000000"
49,"UNCLASSIFIED","UNCLASSIFIED LAND SURFACE","UNCLASSIFIED LAND SURFACE","#000000"
50,"UNCLASSIFIED","UNCLASSIFIED WATER BODIES","UNCLASSIFIED WATER BODIES","#E6F2FF"
255,"UNCLASSIFIED","UNCLASSIFIED","UNCLASSIFIED","#000000"
